tp_pct,sl_pct,win_rate,exp_val_pct,trades,profit_factor
0.07,0.1,61.3519284502849,-0.11649893236697292,48210.0,0.0
0.08,0.1,59.19856547553195,-0.11456279732271268,48208.0,0.0
0.1,0.1,54.885141029369,-0.11199694678685665,48146.0,0.0
0.12,0.1,51.80133594749988,-0.10826686052337528,48083.0,0.023364050041554577
0.15,0.1,47.34318348527717,-0.10454056376401549,47715.0,0.13681794616041132
0.18,0.1,43.38081938373927,-0.10202658281796916,47262.0,0.21653080544299064
0.2,0.1,41.20532286957263,-0.10020323296084617,46892.0,0.2590039583037643
0.25,0.1,32.97622311880606,-0.10963678561635784,43764.0,0.28878720541543906
0.3,0.1,26.13271975130345,-0.12154921303209067,40853.0,0.28456166588144444
0.35,0.1,21.430419442241046,-0.13034854959357917,39081.0,0.2786867127242886
0.4,0.1,18.34558726645058,-0.13552022557777954,37947.0,0.27839984104715804
0.5,0.1,14.835589765986098,-0.1387611229391855,36636.0,0.2915946596558296
0.6,0.1,12.113452826472326,-0.14338881229072287,35539.0,0.29064272211720227
0.07,0.15,70.81260648655228,-0.11359037475660216,47808.0,0.0
0.08,0.15,69.11192836177233,-0.11067577551365781,47786.0,0.0
0.1,0.15,65.41875236612964,-0.10664030622975643,47546.0,0.0
0.12,0.15,62.78561969965908,-0.10106098385597162,47324.0,0.030127380096150132
0.15,0.15,58.649182298149974,-0.09525507576082759,46594.0,0.17729148284631754
0.18,0.15,54.670586263052016,-0.09138647739247055,45552.0,0.27998125390347123
0.2,0.15,52.426350323619445,-0.088643821318789,44894.0,0.33453691635579746
0.25,0.15,43.663870951780105,-0.09879493555011257,40419.0,0.37368956387807534
0.3,0.15,35.876320838726855,-0.11317510809992014,36309.0,0.36966059975129667
0.35,0.15,29.74778905994104,-0.12679888634130365,33583.0,0.355389446901476
0.4,0.15,25.644042412306504,-0.13511116037046825,31989.0,0.35104075837250437
0.5,0.15,20.904133085295623,-0.14098751498278408,30227.0,0.3633967755012741
0.6,0.15,17.825504278203496,-0.1436348922717432,29101.0,0.3757409113284013
0.07,0.2,75.89523138360347,-0.1136985905567301,47300.0,0.0
0.08,0.2,74.47494105555892,-0.11029892388610121,47260.0,0.0
0.1,0.2,71.2625529856903,-0.10552295809507553,46868.0,0.0
0.12,0.2,69.01935483870967,-0.09878516129032257,46500.0,0.03375487486274651
0.15,0.2,65.40432280116504,-0.09127422177574758,45222.0,0.20051123946516317
0.18,0.2,61.687666762807325,-0.08633371628691108,43613.0,0.31714594237352
0.2,0.2,59.5307538515818,-0.08294737151593554,42515.0,0.37889707572367193
0.25,0.2,50.75287812146995,-0.09399911673516476,36984.0,0.42159907539173297
0.3,0.2,42.69399888524184,-0.11012590574100453,32294.0,0.4176615722783535
0.35,0.2,36.06600070688469,-0.12622709600610155,29322.0,0.40171683961145394
0.4,0.2,31.142324152309886,-0.1384747064632942,27339.0,0.390597609561753
0.5,0.2,25.460788570075383,-0.147955361723961,25337.0,0.39850506548060294
0.6,0.2,21.994134897360702,-0.15074780058651027,24211.0,0.4143882433356118
0.07,0.25,79.1837475446238,-0.11473444572551027,46836.0,0.0
0.08,0.25,77.98835321453222,-0.11094018140986378,46755.0,0.0
0.1,0.25,75.26759202781655,-0.10527328909846952,46139.0,0.0
0.12,0.25,73.55518325404738,-0.09681254447191756,45428.0,0.03659814956948081
0.15,0.25,70.50269843810743,-0.08741380148185414,43729.0,0.22014453014823304
0.18,0.25,67.21160819818668,-0.08090834351806926,41653.0,0.3506339232629633
0.2,0.25,65.32690557782037,-0.07622988906313527,40173.0,0.42143908825612525
0.25,0.25,57.05352899239544,-0.08617432568916349,33664.0,0.4719600098291727
