horizon_label,horizon_ticks,tp_pct,sl_pct,win_rate,exp_val_pct,trades,profit_factor
5000 ticks (~10min),5000,0.15,0.35,80.79,-0.0789,44480,0.17
5000 ticks (~10min),5000,0.18,0.1,44.01,-0.1152,45210,0.16
5000 ticks (~10min),5000,0.18,0.12,48.91,-0.1109,45210,0.181
5000 ticks (~10min),5000,0.18,0.15,55.22,-0.1045,45210,0.209
5000 ticks (~10min),5000,0.18,0.18,60.59,-0.0978,45210,0.237
5000 ticks (~10min),5000,0.18,0.2,63.31,-0.0949,45210,0.25
5000 ticks (~10min),5000,0.18,0.25,70.0,-0.0835,45210,0.295
5000 ticks (~10min),5000,0.18,0.3,74.1,-0.0782,44533,0.321
5000 ticks (~10min),5000,0.18,0.35,78.21,-0.0687,43399,0.363
5000 ticks (~10min),5000,0.2,0.1,41.92,-0.113,45210,0.206
5000 ticks (~10min),5000,0.2,0.12,46.76,-0.1083,45210,0.232
5000 ticks (~10min),5000,0.2,0.15,53.07,-0.1013,45210,0.268
5000 ticks (~10min),5000,0.2,0.18,58.5,-0.0939,45210,0.304
5000 ticks (~10min),5000,0.2,0.2,61.25,-0.0908,45210,0.321
5000 ticks (~10min),5000,0.2,0.25,68.17,-0.078,45121,0.379
5000 ticks (~10min),5000,0.2,0.3,72.58,-0.0712,44068,0.416
5000 ticks (~10min),5000,0.2,0.35,76.86,-0.0607,42846,0.47
5000 ticks (~10min),5000,0.25,0.15,47.83,-0.0965,45210,0.373
5000 ticks (~10min),5000,0.25,0.18,53.21,-0.0882,45210,0.42
5000 ticks (~10min),5000,0.25,0.2,55.95,-0.0848,45133,0.442
5000 ticks (~10min),5000,0.25,0.25,63.54,-0.0678,43444,0.529
5000 ticks (~10min),5000,0.25,0.3,68.23,-0.0595,42151,0.579
5000 ticks (~10min),5000,0.25,0.35,72.9,-0.0467,40655,0.652
5000 ticks (~10min),5000,0.3,0.15,43.95,-0.0907,45027,0.452
5000 ticks (~10min),5000,0.3,0.18,49.13,-0.0818,44444,0.505
5000 ticks (~10min),5000,0.3,0.2,51.84,-0.078,44076,0.53
5000 ticks (~10min),5000,0.3,0.25,59.61,-0.0582,41757,0.635
5000 ticks (~10min),5000,0.3,0.3,64.43,-0.0487,40376,0.692
5000 ticks (~10min),5000,0.3,0.35,69.61,-0.0321,38234,0.787
5000 ticks (~10min),5000,0.35,0.18,46.61,-0.071,43914,0.591
5000 ticks (~10min),5000,0.35,0.2,49.29,-0.0665,43388,0.62
5000 ticks (~10min),5000,0.35,0.25,57.11,-0.0438,40814,0.741
5000 ticks (~10min),5000,0.35,0.3,62.07,-0.0322,39062,0.809
5000 ticks (~10min),5000,0.35,0.35,67.53,-0.0121,36489,0.924
5000 ticks (~10min),5000,0.4,0.2,45.68,-0.064,41852,0.658
5000 ticks (~10min),5000,0.4,0.25,53.41,-0.0398,38606,0.784
5000 ticks (~10min),5000,0.4,0.3,58.54,-0.0264,36046,0.857
5000 ticks (~10min),5000,0.4,0.35,64.27,-0.0034,33472,0.981
5000 ticks (~10min),5000,0.5,0.25,43.99,-0.0585,32476,0.736
5000 ticks (~10min),5000,0.5,0.3,49.43,-0.0422,29916,0.813
5000 ticks (~10min),5000,0.5,0.35,55.65,-0.0136,27240,0.938
10000 ticks (~20min),10000,0.1,0.1,60.57,-0.1148,40210,0.0
10000 ticks (~20min),10000,0.1,0.12,65.66,-0.1107,40210,0.0
10000 ticks (~20min),10000,0.1,0.15,71.66,-0.1051,40210,0.0
10000 ticks (~20min),10000,0.1,0.18,76.59,-0.0991,40210,0.0
10000 ticks (~20min),10000,0.1,0.2,79.16,-0.0956,40210,0.0
10000 ticks (~20min),10000,0.1,0.25,84.8,-0.0855,40210,0.0
10000 ticks (~20min),10000,0.1,0.3,87.97,-0.0799,40210,0.0
10000 ticks (~20min),10000,0.1,0.35,90.29,-0.0751,40210,0.0
10000 ticks (~20min),10000,0.12,0.1,56.95,-0.1112,40210,0.0
10000 ticks (~20min),10000,0.12,0.12,62.2,-0.1064,40210,0.0
10000 ticks (~20min),10000,0.12,0.15,68.47,-0.0998,40210,0.0
10000 ticks (~20min),10000,0.12,0.18,73.74,-0.0927,40210,0.0
10000 ticks (~20min),10000,0.12,0.2,76.51,-0.0887,40210,0.0
10000 ticks (~20min),10000,0.12,0.25,82.7,-0.0766,40210,0.0
10000 ticks (~20min),10000,0.12,0.3,86.2,-0.07,40210,0.0
10000 ticks (~20min),10000,0.12,0.35,88.8,-0.0643,40210,0.0
10000 ticks (~20min),10000,0.15,0.1,52.36,-0.1062,40210,0.09
10000 ticks (~20min),10000,0.15,0.12,57.68,-0.1006,40210,0.103
10000 ticks (~20min),10000,0.15,0.15,64.18,-0.0928,40210,0.121
10000 ticks (~20min),10000,0.15,0.18,69.77,-0.0843,40210,0.142
10000 ticks (~20min),10000,0.15,0.2,72.75,-0.0795,40210,0.155
10000 ticks (~20min),10000,0.15,0.25,79.55,-0.0649,40210,0.197
10000 ticks (~20min),10000,0.15,0.3,83.42,-0.0571,40210,0.226
10000 ticks (~20min),10000,0.15,0.35,86.34,-0.0504,40210,0.255
10000 ticks (~20min),10000,0.18,0.1,48.88,-0.1008,40210,0.195
10000 ticks (~20min),10000,0.18,0.12,54.2,-0.0943,40210,0.223
10000 ticks (~20min),10000,0.18,0.15,60.82,-0.0852,40210,0.263
10000 ticks (~20min),10000,0.18,0.18,66.64,-0.0751,40210,0.307
10000 ticks (~20min),10000,0.18,0.2,69.76,-0.0694,40210,0.334
10000 ticks (~20min),10000,0.18,0.25,77.04,-0.0522,40210,0.425
10000 ticks (~20min),10000,0.18,0.3,81.21,-0.043,40210,0.486
10000 ticks (~20min),10000,0.18,0.35,84.38,-0.0351,40210,0.546
10000 ticks (~20min),10000,0.2,0.1,46.97,-0.097,40210,0.253
10000 ticks (~20min),10000,0.2,0.12,52.28,-0.0899,40210,0.289
10000 ticks (~20min),10000,0.2,0.15,58.94,-0.0799,40210,0.341
10000 ticks (~20min),10000,0.2,0.18,64.86,-0.0688,40210,0.398
10000 ticks (~20min),10000,0.2,0.2,68.07,-0.0625,40210,0.432
10000 ticks (~20min),10000,0.2,0.25,75.6,-0.0435,40210,0.549
10000 ticks (~20min),10000,0.2,0.3,79.94,-0.0333,40210,0.627
10000 ticks (~20min),10000,0.2,0.35,83.26,-0.0246,40210,0.703
10000 ticks (~20min),10000,0.25,0.15,54.44,-0.0691,40210,0.486
10000 ticks (~20min),10000,0.25,0.18,60.47,-0.0559,40210,0.565
10000 ticks (~20min),10000,0.25,0.2,63.76,-0.0485,40210,0.612
10000 ticks (~20min),10000,0.25,0.25,71.69,-0.0258,40210,0.769
10000 ticks (~20min),10000,0.25,0.3,76.27,-0.0141,40210,0.866
10000 ticks (~20min),10000,0.25,0.35,79.81,-0.0041,40210,0.958
10000 ticks (~20min),10000,0.3,0.15,50.97,-0.058,40210,0.599
10000 ticks (~20min),10000,0.3,0.18,57.01,-0.0428,40210,0.694
10000 ticks (~20min),10000,0.3,0.2,60.33,-0.0343,40210,0.749
10000 ticks (~20min),10000,0.3,0.25,68.52,-0.0078,40210,0.937
10000 ticks (~20min),10000,0.3,0.3,73.24,0.0054,40210,1.045
10000 ticks (~20min),10000,0.3,0.35,77.06,0.0174,40050,1.154
10000 ticks (~20min),10000,0.35,0.18,54.08,-0.0303,40210,0.797
10000 ticks (~20min),10000,0.35,0.2,57.39,-0.0208,40210,0.859
10000 ticks (~20min),10000,0.35,0.25,65.72,0.0092,40210,1.068
10000 ticks (~20min),10000,0.35,0.3,70.58,0.0243,40003,1.186
10000 ticks (~20min),10000,0.35,0.35,74.96,0.0409,39104,1.33
10000 ticks (~20min),10000,0.4,0.2,54.25,-0.0114,40210,0.928
10000 ticks (~20min),10000,0.4,0.25,62.57,0.0211,39650,1.143
10000 ticks (~20min),10000,0.4,0.3,67.84,0.0401,38018,1.28
10000 ticks (~20min),10000,0.4,0.35,72.53,0.0599,37003,1.44
10000 ticks (~20min),10000,0.5,0.25,56.61,0.0381,35625,1.222
10000 ticks (~20min),10000,0.5,0.3,62.27,0.0625,33947,1.372
10000 ticks (~20min),10000,0.5,0.35,67.53,0.0891,32888,1.555
